model,num. layers,num. heads,stopped-at,n_segments,compactness,graph type,slic method,features,avg. num. of nodes,std. dev. of num. of nodes,avg. num. of edges,std. dev. of num. of edges,best epochs,last epochs,accuracy,stdv accuracy,precision micro,stdv precision micro,precision macro,stdv precision macro,precision weighted,stdv precision weighted,recall micro,stdv recall micro,recall macro,stdv recall macro,recall weighted,stdv recall weighted,f1 micro,stdv f1 micro,f1 macro,stdv f1 macro,f1 weighted,stdv f1 weighted,validation f1 micro,stdv validation f1 micro,validation f1 macro,stdv validation f1 macro,validation f1 weighted,stdv validation f1 weighted,train f1 micro,stdv train f1 micro,train f1 macro,stdv train f1 macro,train f1 weighted,stdv train f1 weighted,loss,stdv loss,validation loss,stdv validation loss,train loss,stdv train loss,training time,stdv training time,loading time,stdv loading time
GAT,2,4,,75,-,RAG,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.7371,0.7399889120790932,608.2808,4.779526269412064,"63, 82, 65, 89, 62","99, 99, 99, 99, 99",0.6237833333333334,,0.6237833333333334,,0.6266723527497484,,0.6266723527497484,,0.6237833333333334,,0.6237833333333334,,0.6237833333333334,,0.6237833333333334,0.005482446736834063,0.6222446792737262,0.00644982720647829,0.6222446792737262,0.006449827206478332,0.6296666666666667,0.0046744726381105686,0.6281826060865783,0.0060973690951994265,0.6281826060865783,0.006097369095199448,0.7116527777777778,0.02098055798693341,0.7103326628604574,0.021677181371930535,0.7103326628604576,0.021677181371930424,1.0883495372026526,0.006194172119082998,1.0902117824554445,0.014145590326197905,0.8208189585915319,0.05571617045906065,1321.5300393104553,,16.870673894882202,
GAT,2,4,,75,-,1NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,231.27892,1.9488159568312242,"81, 56, 73, 66, 82","99, 99, 99, 99, 99",0.6176166666666667,,0.6176166666666667,,0.6198889299423653,,0.6198889299423654,,0.6176166666666667,,0.6176166666666667,,0.6176166666666667,,0.6176166666666667,0.00236326045961929,0.6162626181634201,0.002895252338584796,0.6162626181634201,0.0028952523385847896,0.6195833333333333,0.0033124344857253275,0.6185794200062524,0.003741331259676172,0.6185794200062524,0.0037413312596761557,0.7007083333333333,0.011083430025259732,0.699828038992606,0.01099519289295173,0.699828038992606,0.010995192892951788,1.102133784078537,0.007292357681384084,1.1042999793688455,0.011358573341624057,0.8500411344810768,0.032056103014239584,1197.6605740070343,,11.918571710586548,
GAT,2,4,,75,-,2NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,462.55784,3.8976319136624484,"77, 77, 57, 66, 62","99, 99, 99, 99, 99",0.61745,,0.61745,,0.6215057088796823,,0.6215057088796823,,0.61745,,0.61745,,0.61745,,0.61745,0.0028297035573045834,0.6163041857129006,0.0033666319758504093,0.6163041857129006,0.003366631975850348,0.6192083333333334,0.0035973562823582318,0.6177821764638033,0.0036191986339976106,0.6177821764638032,0.003619198633997699,0.6974768518518519,0.006764964613928815,0.6969304467568188,0.005698067849274842,0.6969304467568188,0.005698067849274866,1.0969804739064357,0.011953857715833424,1.1019512079556784,0.00855308469906378,0.8584497356326493,0.024685836020671564,1267.3501264572144,,16.086711883544922,
GAT,2,4,,75,-,4NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,925.11568,7.795263827324897,"48, 67, 65, 75, 93","99, 99, 99, 99, 99",0.6180166666666667,,0.6180166666666667,,0.6188665501703035,,0.6188665501703036,,0.6180166666666667,,0.6180166666666667,,0.6180166666666667,,0.6180166666666667,0.006318051739086786,0.6157675505091372,0.007354562554334011,0.6157675505091372,0.007354562554334007,0.6171249999999999,0.006603082192767593,0.6149368120744667,0.006448931258518796,0.6149368120744667,0.006448931258518751,0.7001990740740741,0.010353404607589189,0.6984803864565846,0.011771367991732094,0.6984803864565846,0.011771367991732036,1.1031738828471365,0.008383626975356943,1.1094792526563009,0.020935135637538804,0.8535309788209421,0.028131148119749493,1409.5327198028565,,20.647125720977783,
GAT,2,4,,75,-,8NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,1850.23136,15.590527654649794,"57, 67, 53, 75, 58","99, 99, 99, 99, 99",0.6075666666666667,,0.6075666666666667,,0.6102489733559218,,0.6102489733559217,,0.6075666666666667,,0.6075666666666667,,0.6075666666666667,,0.6075666666666667,0.0026684369124181217,0.6061402171805289,0.004322994434407549,0.6061402171805289,0.004322994434407552,0.6080833333333333,0.007335463705709276,0.6062572808280807,0.008072011130187308,0.6062572808280808,0.008072011130187328,0.6917083333333334,0.011656947744886867,0.6904286622581205,0.012298412085754582,0.6904286622581204,0.012298412085754665,1.1288365208088085,0.010706044724953474,1.1265471796989441,0.019008473559673368,0.8763459226643597,0.027419877385143586,1920.4829367637635,,29.166093349456787,
GAT,2,4,,75,-,16NNSpatial,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,3700.46272,31.181055309299587,"57, 57, 40, 54, 62","99, 99, 99, 99, 99",0.5922333333333334,,0.5922333333333334,,0.5946288021091486,,0.5946288021091486,,0.5922333333333334,,0.5922333333333333,,0.5922333333333334,,0.5922333333333334,0.004001874560752743,0.5900165085787692,0.004649178174094558,0.5900165085787692,0.004649178174094554,0.5870833333333334,0.005984644703089921,0.5844329762120155,0.005595539575868655,0.5844329762120155,0.005595539575868662,0.6749675925925926,0.01408545014164369,0.6732184564935763,0.013813713331723959,0.6732184564935764,0.01381371333172395,1.1751786966907216,0.011484665885549836,1.1838519536654153,0.020914105591590397,0.9213770296308729,0.04141343934481329,3001.754477739334,,46.819567918777466,
GAT,2,4,,75,-,1NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,231.27892,1.9488159568312242,"96, 79, 75, 75, 70","99, 99, 99, 99, 99",0.6147,,0.6147,,0.6161359335511045,,0.6161359335511045,,0.6147,,0.6147,,0.6147,,0.6147,0.0038950110540422168,0.6133900141796806,0.00425098199176859,0.6133900141796808,0.004250981991768549,0.6149583333333333,0.0021465411453985574,0.6135936455460844,0.002852023975407917,0.6135936455460843,0.0028520239754079176,0.7056574074074075,0.008388418758799367,0.704782206321843,0.008506857804754405,0.7047822063218432,0.008506857804754481,1.1117993642041024,0.007396001437058078,1.1192614171504975,0.01081475200492254,0.8385725810792712,0.02058853442692914,1198.3609803676604,,13.1045663356781,
GAT,2,4,,75,-,2NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,462.55784,3.8976319136624484,"81, 72, 79, 89, 62","99, 99, 99, 99, 99",0.6193666666666668,,0.6193666666666668,,0.6230078724577478,,0.6230078724577477,,0.6193666666666668,,0.6193666666666667,,0.6193666666666668,,0.6193666666666668,0.003758176271662743,0.6187770325723675,0.004137238676766988,0.6187770325723676,0.0041372386767668835,0.617875,0.004324911688244192,0.6172685024174239,0.004674612922331468,0.6172685024174236,0.004674612922331449,0.7077407407407407,0.011808701469005287,0.7074781122816973,0.011700779200047202,0.7074781122816972,0.011700779200047308,1.1030441013422418,0.01301612278600889,1.1033529961903892,0.01323647483469293,0.8289557296964858,0.03087118474962994,1253.9812004566193,,14.179882049560547,
GAT,2,4,,75,-,4NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,925.11568,7.795263827324897,"57, 57, 67, 51, 68","99, 99, 99, 99, 99",0.60815,,0.60815,,0.6104665182711836,,0.6104665182711837,,0.60815,,0.60815,,0.60815,,0.60815,0.0072889566392515155,0.6057767796577141,0.008448865771591372,0.6057767796577141,0.008448865771591338,0.6089583333333333,0.005382907619906226,0.6060693531117655,0.004751342103293144,0.6060693531117655,0.004751342103293234,0.6862407407407408,0.007463626360552319,0.6844185279275025,0.007169860102954331,0.6844185279275024,0.007169860102954237,1.122179899951245,0.024081156041341905,1.1288943676948549,0.018546316972695966,0.8910707239751462,0.021850352891241796,1408.5532854557036,,17.402776956558228,
GAT,2,4,,75,-,8NNFeature,SLIC0,avg_color centroid std_deviation_centroid std_deviation_color,115.63946,0.9744079784156121,1850.23136,15.590527654649794,"49, 57, 65, 62, 65","99, 99, 99, 99, 99",0.6007666666666667,,0.6007666666666667,,0.601991969721032,,0.6019919697210321,,0.6007666666666667,,0.6007666666666667,,0.6007666666666667,,0.6007666666666667,0.0037388352315779936,0.5987501419719936,0.003746549070683994,0.5987501419719936,0.0037465490706839154,0.600875,0.005693868534563177,0.5990821872768743,0.005645020173381102,0.5990821872768743,0.005645020173381106,0.680087962962963,0.008423475936036902,0.6785715297150153,0.008148773659457811,0.6785715297150153,0.008148773659457872,1.1484054954128062,0.0032667808082978097,1.150124538421631,0.0189620040445394,0.9058137851909354,0.023806049119244756,1920.175537109375,,23.615811347961426,
